Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	p.adjust	zScore
3.76656981207141	7	6.01289437585734	5	Adipose Tissue	0.000171171000022511	3.758154768109
0.267017286471073	2	1.10880920761399	3	Adrenal Gland	0.540732799421068	0.611705232367519
0	0	0	3	Appendix	1	0
0	0	0	4	Bone Marrow	1	0
0.205083705345584	1	1.03078189300412	4	Breast	0.623614629237538	0.490733952607362
0.136152686349612	9	0.857808219178082	3	Cerebral Cortex	0.730882079674412	0.34395240537718
0	0	0	2	Cervix, uterine	1	0
0.499032769392542	2	1.75038434661076	13	Colon	0.316932831452494	1.00078072233518
3.93527756179655	10	4.30822153422773	2	Duodenum	0.00011607065579701	3.85428009353541
0.24096296722371	1	1.17928436911488	5	Endometrium	0.574165419847595	0.561927494795795
0.0759547620177094	1	0.552204585537919	3	Esophagus	0.839547432838657	0.2024724004229
0.076488054525039	2	0.61709780734171	5	Fallopian Tube	0.838517142114875	0.203790595774534
0.183728696232784	1	0.946636432350718	3	Gallbladder	0.655045253054323	0.446764295898673
0.366847226809579	2	1.37099069512863	4	Heart Muscle	0.429687552778177	0.789726429590367
0.353582692619364	3	1.2278431372549	9	Kidney	0.443013853611147	0.767113806879342
17.5636445606943	27	8.90331753554502	10	Liver	2.73121217225912e-18	Inf
0.128408496411204	1	0.740189125295508	9	Lung	0.744031810027134	0.326518876248464
0.275830365644522	2	1.13134598012647	5	Lymph Node	0.529870369538601	0.62820390953379
0.206998936321606	1	1.03847429519071	3	Ovary	0.620870554870581	0.494616922056291
0	0	0	2	Pancreas	1	0
1.81928470665934	7	2.71333952336738	8	Placenta	0.0151605617384663	2.42852065002229
0.129502285437494	1	0.744147355912062	9	Prostate	0.742160292173671	0.328993908668245
0.149853578585428	1	0.818562091503268	4	Rectum	0.708184506964269	0.374295463288394
0.327280892436096	1	1.58131313131313	3	Salivary Gland	0.470672806766086	0.721384782327502
0	0	0	3	Seminal Vesicle	1	0
0.0456041136801738	1	0.438976515948125	5	Skeletal Muscle	0.900317903119343	0.125259766273283
0	0	0	3	Skin	1	0
3.07263532804969	9	3.65131195335277	4	Small Intestine	0.000845988913905863	3.33729241315803
0.323768760895655	1	1.56354556803995	3	Smooth Muscle	0.474494561557325	0.715185283165032
0.184488169441886	2	0.900683207479324	5	Spleen	0.653900742585125	0.448349831242649
0	0	0	4	Stomach	1	0
0.00151762813924611	7	0.449510331743834	10	Testis	0.996511630617127	0.00437203659205768
0.0674156460766208	1	0.521181856013317	5	Thyroid Gland	0.856218000579014	0.181190564353954
0	0	0	5	Tonsil	1	0
0.43696076317254	1	2.20881834215168	2	Urinary Bladder	0.365627823181275	0.90469342906793
