Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
1.82521933829632	5	3.47194499889111	5	Adipose Tissue	0.0149548018041142	2.43347176331692	0.130854515785999
0.413032210657295	3	1.34451415893313	3	Adrenal Gland	0.386338322136026	0.86627691602822	0.901456084984061
0.324223977766723	2	1.25688288228013	3	Appendix	0.473997468510301	0.715990089330425	1
0.0416410278792974	1	0.422898563774706	4	Bone Marrow	0.908571212014784	0.11484092267371	1
0.471110928159847	2	1.66653359946773	4	Breast	0.337978498195968	0.958167112120709	0.901456084984061
0.645308864897181	16	1.23277827905832	3	Cerebral Cortex	0.226303429297768	1.20993605899905	0.745711838511124
0.12443549919527	1	0.725748502994012	2	Cervix, uterine	0.750869563929095	0.317492981818748	1
0	0	0	13	Colon	1	0	1
0.79264268533509	5	1.74134702730761	2	Duodenum	0.161197133500392	1.40105664966024	0.626877741390413
0.549175514678597	2	1.90662742311986	5	Endometrium	0.282373856569283	1.07500194714636	0.823590414993743
0.0475878874605527	1	0.446392928428857	3	Esophagus	0.896214802080796	0.130444448608786	1
0.039677053509204	2	0.498851520904975	5	Fallopian Tube	0.91268927357005	0.109647077123578	1
0.424266325938376	2	1.53049004032751	3	Gallbladder	0.376472860665882	0.88441382867188	0.901456084984061
2.01380310722809	6	3.32485767381493	4	Heart Muscle	0.00968716936520474	2.58680038415259	0.113016975927389
0.0924761564556471	2	0.661711870376893	9	Kidney	0.808209300031602	0.242736796836947	1
3.393724627305	12	3.19879671935749	10	Liver	0.000403901413182191	3.53752142634195	0.00706827473068835
0.630104321426269	3	1.79506943559689	9	Lung	0.234366577817782	1.18918575743484	0.745711838511124
0.190154439210032	2	0.914561121659121	5	Lymph Node	0.645424669126197	0.460127551598484	1
0	0	0	3	Ovary	1	0	1
0	0	0	2	Pancreas	1	0	1
4.69435379432286	13	4.07349090120594	8	Placenta	2.02137181432845e-05	4.26251692726712	0.000707480135014957
0.303694538909874	2	1.20311249159435	9	Prostate	0.496941722596685	0.679309587993259	1
0	0	0	4	Rectum	1	0	1
0.263546199423682	1	1.278307022319	3	Salivary Gland	0.545071908888341	0.605161176778951	1
1.14119459165037	4	2.556614044638	3	Seminal Vesicle	0.0722446029134552	1.79757361352728	0.502647625320143
0.11018054952182	2	0.709722510814333	5	Skeletal Muscle	0.775924473990908	0.284634112252459	1
0.227375412932309	4	0.97184464763777	3	Skin	0.592413009399206	0.535342548620134	1
1.06465315882699	6	1.96777290899251	4	Small Intestine	0.086168164340596	1.71596655286	0.502647625320143
0	0	0	3	Smooth Muscle	1	0	1
0.84865054174418	5	1.82024300912738	5	Spleen	0.141693346732462	1.46951429749897	0.619908391954523
0.115720496721307	1	0.694388999778221	4	Stomach	0.766089488226334	0.297493868793411	1
0.00222883272507447	10	0.519109450687918	10	Testis	0.994881069600256	0.00641567185007464	1
0	0	0	5	Thyroid Gland	1	0	1
0	0	0	5	Tonsil	1	0	1
0.966363074999551	2	3.57114342743085	2	Urinary Bladder	0.108053023834029	1.6070061280382	0.540265119170143
