Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.0820873174600983	1	0.574074074074074	5	Adipose Tissue	0.827775717803405	0.217555168892488	1
0.871066211102894	5	1.85258964143426	3	Adrenal Gland	0.134565518426986	1.49633830301445	0.784965524157419
0.239669825083707	2	1.0391061452514	3	Appendix	0.575877585251393	0.559416379662216	1
0.0246728220131587	1	0.349624060150376	4	Bone Marrow	0.944772357379275	0.0692729492389842	1
0.369344169650843	2	1.37777777777778	4	Breast	0.427224185379626	0.793950609025444	1
11.2006422469832	47	2.99383561643836	3	Cerebral Cortex	6.300249564753e-12	6.87268874479709	2.20508734766355e-10
3.55639975199649	8	4.8	2	Cervix, uterine	0.000277715582177677	3.63524592517164	0.00486002268810934
0	0	0	13	Colon	1	0	1
0.0130176608447665	1	0.287925696594427	2	Duodenum	0.970470501679865	0.0370181905991325	1
0.871803904651426	3	2.36440677966102	5	Endometrium	0.134337139163309	1.49721570890276	0.784965524157419
0.0289045896252841	1	0.369047619047619	3	Esophagus	0.935611196468749	0.0807871889929095	1
0.0621542199701011	3	0.618625277161863	5	Fallopian Tube	0.866654068259636	0.16791001869099	1
0.676487884667249	3	1.89795918367347	3	Gallbladder	0.210626065565023	1.25184577816215	0.921489036846978
0.190869306099413	2	0.916256157635468	4	Heart Muscle	0.644363147008923	0.46160703739683	1
0.302247552937369	4	1.09411764705882	9	Kidney	0.498600198495275	0.676693882807873	1
0.0781732409758321	3	0.661137440758294	10	Liver	0.835269760915102	0.207947755104894	1
0.060320647883721	1	0.49468085106383	9	Lung	0.870320778286193	0.16325104354641	1
0.305606665719436	3	1.13414634146341	5	Lymph Node	0.494758579877636	0.682759888148416	1
0.756444731648917	3	2.08208955223881	3	Ovary	0.175208539055082	1.35565633334323	0.87604269527541
0	0	0	2	Pancreas	1	0	1
1.02919683252854	7	1.8133704735376	8	Placenta	0.093498182223451	1.67722658542365	0.784965524157419
0.0610317553210404	1	0.497326203208556	9	Prostate	0.868896893805779	0.165059825518277	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0.246666374574463	2	1.05681818181818	3	Seminal Vesicle	0.566674441708479	0.572956065666285	1
0.176736657656599	3	0.8801261829653	5	Skeletal Muscle	0.665676678986872	0.432089069052351	1
0.056490964994405	3	0.602591792656587	3	Skin	0.878029353314344	0.15346783555362	1
0.0104143801618693	1	0.271137026239067	4	Small Intestine	0.976305239071258	0.0297013452133333	1
2.56305658486447	5	5.2247191011236	3	Smooth Muscle	0.00273491236735183	2.99606153646662	0.031907310952438
0.620145822490923	5	1.50485436893204	5	Spleen	0.239802760123139	1.1754799348305	0.932566289367764
0.2824451833632	2	1.14814814814815	4	Stomach	0.521860969358453	0.640479412537043	1
0.326658683882319	24	1.02999538532533	10	Testis	0.471347617395637	0.720288120574773	1
0.259767871491381	3	1.04494382022472	5	Thyroid Gland	0.549834679572627	0.598007873414958	1
0.0711396958781133	1	0.53448275862069	5	Tonsil	0.848907370172576	0.190512728205698	1
0	0	0	2	Urinary Bladder	1	0	1
