Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0.349948005592342	2	1.32529100529101	5	Adipose Tissue	0.44673707300342	0.76086605899302	1
0.0428483098104286	1	0.427683551508253	3	Adrenal Gland	0.906049010045316	0.118023534912471	1
2.17419316461618	6	3.59827613727055	3	Appendix	0.0066958672575365	2.71160330674262	0.117177677006889
1.41307228941461	6	2.42139634801289	4	Bone Marrow	0.0386302670645958	2.06810376165961	0.338014836815213
0	0	0	4	Breast	1	0	1
0.00241486251178342	6	0.441158512720157	3	Cerebral Cortex	0.994455004136323	0.00694967764950819	1
0.372073175148579	2	1.38514285714286	2	Cervix, uterine	0.424548024971114	0.798555800935542	1
0.110350136719727	1	0.675148247978437	13	Colon	0.775621543204195	0.28502949737745	1
0.0935895221420601	2	0.664697036709421	2	Duodenum	0.806140012691802	0.245408674982157	1
0.174100315782357	1	0.909733656174334	5	Endometrium	0.669729893570568	0.426518742831467	1
0	0	0	3	Esophagus	1	0	1
0.0997391635468322	3	0.714070319923979	5	Fallopian Tube	0.794805450068665	0.26007561137687	1
0.125680437189096	1	0.730262390670554	3	Gallbladder	0.74872022160659	0.320327311295166	1
0	0	0	4	Heart Muscle	1	0	1
0.0178664632020422	1	0.315731092436975	9	Kidney	0.959695673226302	0.0505354841857994	1
0.446771969269486	5	1.27190250507786	10	Liver	0.357460477142356	0.920214885330489	1
0.280066702953766	2	1.14200607902736	9	Lung	0.524726861667325	0.636076039649947	1
9.81589783217085	17	7.41839721254355	5	Lymph Node	1.52792546061022e-10	6.40256060573194	5.34773911213577e-09
0	0	0	3	Ovary	1	0	1
0.304803290719098	1	1.47052837573386	2	Pancreas	0.495674650773385	0.681311116450691	1
0.184970384658373	3	0.897063270990848	8	Placenta	0.653175092342936	0.449355686966437	1
0.0820910592725376	1	0.574056531703591	9	Prostate	0.827768585849711	0.217564321535408	1
0.0981297152039413	1	0.63146218487395	4	Rectum	0.797756377570408	0.256251845743617	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0	0	0	5	Skeletal Muscle	1	0	1
0	0	0	3	Skin	1	0	1
0.664520486813233	5	1.56484798000833	4	Small Intestine	0.216510774307083	1.23585955178045	1
0.247111602288327	1	1.20616372391653	3	Smooth Muscle	0.566093799090356	0.573813815056324	1
1.58541911653243	7	2.43184466019417	5	Spleen	0.0259765148573771	2.22656268970155	0.303059340002733
0.106856157162048	1	0.662645502645503	4	Stomach	0.781886730703271	0.276861142186615	1
0.00622291137131817	12	0.594454479530622	10	Testis	0.985773385486632	0.0178313619864681	1
0.0365499735742615	1	0.402054574638844	5	Thyroid Gland	0.919284688092978	0.101334804873275	1
1.09741656214021	4	2.46778325123153	5	Tonsil	0.0799067445973946	1.75122741695449	0.559347212181762
0.35065816749831	1	1.70394557823129	2	Urinary Bladder	0.44600716181126	0.762088540495068	1
