source	target	interaction	weight
ACTR1A	ACVR2A	interacts_with	0.436
ACTR1A	DNM1	interacts_with	0.495
ACTR1A	GALNT2	interacts_with	0.511
ACTR1A	KIF18A	interacts_with	0.551
ACTR1A	KIF2A	interacts_with	0.538
ACTR1A	OTX2	interacts_with	0.427
ACVR2A	BMP6	interacts_with	0.999
ACVR2A	IGF1	interacts_with	0.496
ACVR2A	OTX2	interacts_with	0.41
ADAMTS17	ANKS1B	interacts_with	0.401
ADAMTS17	B3GLCT	interacts_with	0.671
ADCY2	AKT3	interacts_with	0.716
ADCY2	GNAO1	interacts_with	0.447
ADCY2	PDE11A	interacts_with	0.734
ADCY2	PDE2A	interacts_with	0.72
ADCY2	PDE4B	interacts_with	0.773
ADCY2	TYR	interacts_with	0.41
AKT3	BCL2	interacts_with	0.947
AKT3	CSF3R	interacts_with	0.435
AKT3	IGF1	interacts_with	0.459
AKT3	MAPKAP1	interacts_with	0.657
ALDH1A2	UGT1A1	interacts_with	0.663
ANAPC4	KIF18A	interacts_with	0.68
ANAPC4	MAD1L1	interacts_with	0.741
ANAPC4	PPP3CA	interacts_with	0.659
ANKS1B	PLCH1	interacts_with	0.444
APOE	BACE2	interacts_with	0.489
APOE	BCL2	interacts_with	0.491
APOE	BDNF	interacts_with	0.831
APOE	CD40	interacts_with	0.44
APOE	CTSC	interacts_with	0.494
APOE	FGF18	interacts_with	0.576
APOE	FTO	interacts_with	0.713
APOE	FURIN	interacts_with	0.595
APOE	GPC6	interacts_with	0.612
APOE	IGF1	interacts_with	0.579
APOE	SDC3	interacts_with	0.594
APOE	SLC6A4	interacts_with	0.452
APOE	SNCA	interacts_with	0.996
APOE	SORCS1	interacts_with	0.41
APOE	TMEM106B	interacts_with	0.6
ASCC3	FNDC3A	interacts_with	0.401
ATP2B2	CA10	interacts_with	0.402
ATP2B2	GABRB2	interacts_with	0.41
ATP2B2	NPTXR	interacts_with	0.555
ATP2B2	RBFOX1	interacts_with	0.441
AUTS2	CSMD1	interacts_with	0.425
AUTS2	FOXP1	interacts_with	0.453
AUTS2	FOXP2	interacts_with	0.427
AUTS2	NLGN4X	interacts_with	0.644
AUTS2	NPAS3	interacts_with	0.542
AUTS2	PAX5	interacts_with	0.48
AUTS2	PTPRD	interacts_with	0.607
B3GALT1	C1GALT1	interacts_with	0.877
B3GLCT	PAX6	interacts_with	0.443
BACE2	FURIN	interacts_with	0.409
BCL11B	FOXP1	interacts_with	0.503
BCL11B	FOXP2	interacts_with	0.631
BCL11B	HEXIM1	interacts_with	0.918
BCL11B	MBD2	interacts_with	0.652
BCL11B	MEIS1	interacts_with	0.443
BCL11B	OTX2	interacts_with	0.416
BCL11B	PAX5	interacts_with	0.473
BCL11B	PAX6	interacts_with	0.711
BCL11B	SOX2	interacts_with	0.57
BCL11B	UNC5D	interacts_with	0.489
BCL2	BDNF	interacts_with	0.793
BCL2	CD40	interacts_with	0.591
BCL2	CDKN2B	interacts_with	0.437
BCL2	CTSC	interacts_with	0.914
BCL2	CTSH	interacts_with	0.911
BCL2	DNMT1	interacts_with	0.571
BCL2	FGF18	interacts_with	0.452
BCL2	FOXP1	interacts_with	0.497
BCL2	IGF1	interacts_with	0.765
BCL2	KCNA3	interacts_with	0.409
BCL2	LRPPRC	interacts_with	0.64
BCL2	MAP3K9	interacts_with	0.453
BCL2	NCAM1	interacts_with	0.607
BCL2	NPM1	interacts_with	0.66
BCL2	OPA1	interacts_with	0.643
BCL2	PAX5	interacts_with	0.696
BCL2	PAX6	interacts_with	0.514
BCL2	PPP3CA	interacts_with	0.592
BCL2	PRDM1	interacts_with	0.515
BCL2	SNCA	interacts_with	0.527
BCL2	SOX2	interacts_with	0.587
BCL2	TCF7L2	interacts_with	0.437
BCL2	TET2	interacts_with	0.428
BDNF	BMP6	interacts_with	0.482
BDNF	CD40	interacts_with	0.428
BDNF	DNMT1	interacts_with	0.636
BDNF	EFNA5	interacts_with	0.46
BDNF	FGF18	interacts_with	0.657
BDNF	FOXP1	interacts_with	0.527
BDNF	FTO	interacts_with	0.54
BDNF	FURIN	interacts_with	0.489
BDNF	GRIA1	interacts_with	0.828
BDNF	IGF1	interacts_with	0.859
BDNF	NCAM1	interacts_with	0.767
BDNF	NEGR1	interacts_with	0.511
BDNF	NLGN1	interacts_with	0.469
BDNF	NRXN3	interacts_with	0.455
BDNF	OTX2	interacts_with	0.641
BDNF	PAX6	interacts_with	0.616
BDNF	SLC6A4	interacts_with	0.922
BDNF	SNCA	interacts_with	0.798
BDNF	SOX2	interacts_with	0.636
BMP6	FGF18	interacts_with	0.495
BMP6	IGF1	interacts_with	0.494
BTBD9	IMMP2L	interacts_with	0.466
BTBD9	MEIS1	interacts_with	0.765
BTBD9	PTPRD	interacts_with	0.726
BTBD9	SALL1	interacts_with	0.455
BTBD9	TOX3	interacts_with	0.71
C1GALT1	GALNT2	interacts_with	0.907
C1GALT1	GALNTL6	interacts_with	0.707
C1GALT1	MUC13	interacts_with	0.548
CA10	RBFOX1	interacts_with	0.504
CADM2	CSMD1	interacts_with	0.423
CADM2	FAT4	interacts_with	0.403
CADM2	FTO	interacts_with	0.4
CADM2	GPRC5B	interacts_with	0.49
CADM2	NRXN3	interacts_with	0.562
CADM2	SORCS1	interacts_with	0.408
CCDC175	SORCS3	interacts_with	0.512
CD207	CD40	interacts_with	0.576
CD40	NCAM1	interacts_with	0.581
CD40	PAX5	interacts_with	0.497
CD40	PRDM1	interacts_with	0.773
CDKN2B	DNMT1	interacts_with	0.519
CDKN2B	FTO	interacts_with	0.554
CDKN2B	MECOM	interacts_with	0.475
CDKN2B	PAX5	interacts_with	0.449
CDKN2B	SOX2	interacts_with	0.575
CDKN2B	TCF7L2	interacts_with	0.624
CDKN2B	TET2	interacts_with	0.415
CEP120	IFT88	interacts_with	0.497
CEP120	TANC2	interacts_with	0.501
CHCHD3	OPA1	interacts_with	0.559
CHD7	OTX2	interacts_with	0.414
CHD7	PAX6	interacts_with	0.405
CHD7	SALL1	interacts_with	0.401
CHD7	SNTG1	interacts_with	0.452
CHD7	SOX2	interacts_with	0.86
CNKSR2	KSR2	interacts_with	0.633
CNKSR2	SHROOM4	interacts_with	0.421
CNTN5	CSMD1	interacts_with	0.48
COL18A1	FGF18	interacts_with	0.688
CSF3R	FES	interacts_with	0.416
CSF3R	GFI1	interacts_with	0.532
CSF3R	IL13RA1	interacts_with	0.471
CSF3R	MECOM	interacts_with	0.467
CSF3R	NPM1	interacts_with	0.516
CSF3R	SETBP1	interacts_with	0.727
CSF3R	TET2	interacts_with	0.616
CSMD1	FAT4	interacts_with	0.423
CSMD1	GRIK2	interacts_with	0.501
