source	target	interaction	weight
ARNTL	DRD2	interacts_with	0.463
ARNTL	ESR1	interacts_with	0.478
ARPP21	BCL11B	interacts_with	0.53
ARPP21	LINGO1	interacts_with	0.428
ARPP21	RBFOX1	interacts_with	0.448
BAIAP2	FES	interacts_with	0.405
BAIAP2	IMMP2L	interacts_with	0.501
BAIAP2	MAPT	interacts_with	0.409
BCL11B	BPTF	interacts_with	0.531
BCL11B	EMX2	interacts_with	0.418
BCL11B	FOXP1	interacts_with	0.503
BCL11B	FOXP2	interacts_with	0.631
BCL11B	OTX2	interacts_with	0.416
BCL11B	PAX6	interacts_with	0.711
BPTF	MAPT	interacts_with	0.401
CACNA1E	KCNB1	interacts_with	0.494
CACNA1E	PDE4B	interacts_with	0.56
CD40	NCAM1	interacts_with	0.581
CD40	NOD2	interacts_with	0.484
CELF4	RBFOX1	interacts_with	0.623
CHRNA3	DRD2	interacts_with	0.526
CSF3R	FES	interacts_with	0.416
CSMD1	FHIT	interacts_with	0.418
CSMD1	HIVEP1	interacts_with	0.41
CSMD1	PCLO	interacts_with	0.495
CSMD1	RBFOX1	interacts_with	0.441
CSMD1	ZNF804A	interacts_with	0.61
CTTNBP2	STK24	interacts_with	0.995
DNM3	GRIA1	interacts_with	0.565
DNM3	GRM5	interacts_with	0.518
DRD2	ESR1	interacts_with	0.593
DRD2	GRIA1	interacts_with	0.615
DRD2	GRM3	interacts_with	0.575
DRD2	GRM5	interacts_with	0.627
DRD2	IMMP2L	interacts_with	0.422
DRD2	MSRA	interacts_with	0.474
DRD2	NCAM1	interacts_with	0.625
DRD2	NTRK2	interacts_with	0.48
DRD2	TSNARE1	interacts_with	0.421
DRD2	ZNF804A	interacts_with	0.6
EFNA5	NTRK2	interacts_with	0.975
EFNA5	OTX2	interacts_with	0.515
ELAVL2	MAPT	interacts_with	0.501
ELAVL2	MYCN	interacts_with	0.531
ELAVL2	RBFOX1	interacts_with	0.691
EMX2	OTX2	interacts_with	0.606
EMX2	PAX6	interacts_with	0.488
ESR1	GRM5	interacts_with	0.508
ESR1	MAPT	interacts_with	0.418
ESR1	MEN1	interacts_with	0.923
ESR1	MYCN	interacts_with	0.433
ESR1	NTRK2	interacts_with	0.555
ESR1	OTX2	interacts_with	0.466
ESR1	ZFHX3	interacts_with	0.498
FBXL17	PCCB	interacts_with	0.544
FHIT	GRM8	interacts_with	0.436
FHIT	IMMP2L	interacts_with	0.497
FHIT	NPAS3	interacts_with	0.407
FHIT	RBFOX1	interacts_with	0.435
FOXP1	FOXP2	interacts_with	0.897
FOXP1	PAX6	interacts_with	0.556
FOXP2	NPAS3	interacts_with	0.503
FOXP2	PAX6	interacts_with	0.601
GLIS3	OTX2	interacts_with	0.41
GLIS3	PAX6	interacts_with	0.414
GLIS3	PROX1	interacts_with	0.448
GRIA1	GRM3	interacts_with	0.857
GRIA1	GRM5	interacts_with	0.916
GRIA1	GRM8	interacts_with	0.592
GRIA1	LMAN2L	interacts_with	0.499
GRIA1	LRFN5	interacts_with	0.419
GRIA1	MAPT	interacts_with	0.465
GRIA1	NTRK2	interacts_with	0.667
GRIA1	OLFM1	interacts_with	0.588
GRM3	GRM5	interacts_with	0.72
GRM3	GRM8	interacts_with	0.516
GRM3	NTRK2	interacts_with	0.451
GRM3	ZNF804A	interacts_with	0.447
GRM5	GRM8	interacts_with	0.514
GRM5	NTRK2	interacts_with	0.559
GRM8	NTRK2	interacts_with	0.439
HIVEP1	TCF4	interacts_with	0.45
IGSF1	LINGO1	interacts_with	0.547
IMMP2L	TMEM161B	interacts_with	0.45
KCNB1	KCNK10	interacts_with	0.437
KCNB1	RSRC1	interacts_with	0.436
LINGO1	NCAM1	interacts_with	0.415
LINGO1	OLFM1	interacts_with	0.452
LRFN5	PCLO	interacts_with	0.48
LRFN5	RBFOX1	interacts_with	0.42
MAD1L1	TSNARE1	interacts_with	0.67
MAD1L1	ZFHX3	interacts_with	0.432
MAD1L1	ZNF804A	interacts_with	0.497
MAPT	NCAM1	interacts_with	0.456
MAPT	NTRK2	interacts_with	0.464
MAPT	TMEM106B	interacts_with	0.749
MYCN	NTRK2	interacts_with	0.476
MYCN	OTX2	interacts_with	0.48
MYCN	PTCH1	interacts_with	0.624
MYCN	TCF4	interacts_with	0.419
NCAM1	NTRK2	interacts_with	0.693
NCAM1	PAX6	interacts_with	0.535
NOS1	NTRK2	interacts_with	0.564
NOS1	SGCD	interacts_with	0.59
NPAS3	RBFOX1	interacts_with	0.524
NPAS3	TENM3	interacts_with	0.464
NTRK2	RAB27B	interacts_with	0.415
NTRK2	TMEM161B	interacts_with	0.422
OTX2	PAX6	interacts_with	0.479
PAX6	PROX1	interacts_with	0.702
PAX6	PTCH1	interacts_with	0.494
PAX6	SOX6	interacts_with	0.425
PCCB	PDHX	interacts_with	0.696
PDE4B	ZNF804A	interacts_with	0.417
TCF4	ZNF804A	interacts_with	0.439
